Frequency_Hz,Power_dB
25711.0595703125,-144.85764039697364
25787.353515625,-147.33117761741056
25863.6474609375,-139.07804994785582
25939.94140625,-109.49153773282586
26016.2353515625,-105.50556640668177
26092.529296875,-116.26749736004481
26168.8232421875,-142.3312945697978
26245.1171875,-151.95252823043464
26321.4111328125,-153.1752972557116
26397.705078125,-152.10543127770603
26473.9990234375,-150.83897225506223
26550.29296875,-149.72856578174552
26626.5869140625,-148.8260680712596
26702.880859375,-148.24917417158716
26779.1748046875,-148.79278392453668
26855.46875,-152.02807433391374
26931.7626953125,-112.74637940229931
27008.056640625,-107.16170497423975
27084.3505859375,-116.07623686164865
27160.64453125,-144.43999231447765
27236.9384765625,-148.85441679847932
27313.232421875,-149.12317228433204
27389.5263671875,-148.7746297926127
27465.8203125,-148.35247233293347
27542.1142578125,-147.95599416158984
27618.408203125,-147.60122601690966
27694.7021484375,-147.28551080573752
27770.99609375,-146.99982997683625
27847.2900390625,-146.7083290818968
27923.583984375,-112.36263445050051
27999.8779296875,-104.99501190198215
28076.171875,-112.30977779490777
28152.4658203125,-145.98156167078147
28228.759765625,-145.79313423673563
28305.0537109375,-145.65206046520348
28381.34765625,-145.5299492809961
28457.6416015625,-145.4223241940697
28533.935546875,-145.32503369366523
28610.2294921875,-145.22560505195366
28686.5234375,-145.07647551055013
28762.8173828125,-144.62710188594977
28839.111328125,-141.43282396134336
28915.4052734375,-113.98757825307672
28991.69921875,-105.00585648112697
29067.9931640625,-110.53886047059684
29144.287109375,-144.42125984964431
29220.5810546875,-142.5159930162568
29296.875,-141.87724570385453
29373.1689453125,-141.74709410280374
29449.462890625,-141.69860526466874
29525.7568359375,-141.65223984495512
29602.05078125,-141.59034839935788
29678.3447265625,-141.5069232585314
29754.638671875,-141.38341446802926
29830.9326171875,-140.8549097497139
29907.2265625,-125.01402891578529
29983.5205078125,-114.32196750771142
30059.814453125,-118.22504422428636
30136.1083984375,-140.00418653978878
30212.40234375,-140.3964223617608
30288.6962890625,-140.11040213647658
30364.990234375,-139.92096375310751
30441.2841796875,-139.7360850932329
30517.578125,-139.5370571509166
30593.8720703125,-139.32318784626625
30670.166015625,-139.1091747371445
30746.4599609375,-138.9675437044109
30822.75390625,-139.29558931779852
30899.0478515625,-129.8098598938006
30975.341796875,-115.61902085125267
31051.6357421875,-118.75631908277825
31127.9296875,-134.6754987229235
31204.2236328125,-137.55298648304696
31280.517578125,-137.35819760282777
31356.8115234375,-136.92188045335394
31433.10546875,-136.414515667873
31509.3994140625,-135.8708315793859
